"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C5,C8,C9,C12,C13,C16,C18","08055C104J4Z2A","","08055C104J4Z2A:CAPC2012X94N","8",""
"C2","CGA5L3X5R1H106K160AB","","CGA5L3X5R1H106K160AB:CAPC3216X190N","1",""
"C3,C4,C7","CC0805ZKY5V7BB475","","CC0805ZKY5V7BB475:CC0805ZKY5V7BB475","3",""
"C6","C1206F105M5RACAUTO7210","https://content.kemet.com/datasheets/KEM_C1012_X7R_OPENMODE_SMD.pdf","C1206F105M5RACAUTO7210:C1206","1",""
"C10,C11,C14,C15,C17,C19","GCM155R71H103KA55D","","GCM155R71H103KA55D:CAPC1005X55N","6",""
"IC1","ADP1720ARMZ-3.3-R7","http://componentsearchengine.com/Datasheets/1/ADP1720ARMZ-3.3-R7.pdf","ADP1720ARMZ-3.3-R7:SOP65P490X110-8N","1",""
"J2","Screw_Terminal_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J3,J4","CTB5202_4","https://www.camdenboss.com/products/datasheet/CTB5202%20series_D.pdf","CTB5202_4:CTB52024","2",""
"J5","VIn","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"J6","GND","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"R1","ERJ-3GEYJ273V","","ERJ3GEYJ273V:RESC1608X55","1",""
"R2","CRCW060357K6FKEA","http://www.vishay.com/docs/20035/dcrcwe3.pdf","CRCW060357K6FKEA:RESC1608X50N","1",""
"R3,R4,R5,R6,R17,R19","CRCW08051K00JNEA ","","CRCW08051K00JNEA:RESC2012X50N","6",""
"R7,R8,R13,R14,R18","ERJ-UP6D20R0V","","ERJ-UP6D20R0V:RES_ERJ-UP6D20R0V","5",""
"R9","ERA6AEB512V","","ERA6AEB512V:RES_ERA6AEB512V","1",""
"R10","ERA2AEB301X","","ERA2AEB301X:RES_ERA2AEB301X","1",""
"R11,R12","RT0402FRE0710KL","","RT0402FRE0710KL:RESC1005X35N","2",""
"R15","R","~","GCM155R71H103KA55D:CAPC1005X55N","1",""
"U1","AD7124-4BRUZ-RL","","AD7124-4BRUZ-RL:SOP65P640X120-24N","1",""
"U2","ADP1720ARMZ-R7","","ADP1720ARMZ-R7:SOP65P490X110-8N","1",""
